product_id,product_name,category,stock_level,reorder_level,supplier_id,last_updated
2,develop city,Toys,47,14,4832,2024-10-23 21:56:56.821984
3,certainly commercial,Books,27,5,4228,2024-10-23 21:56:56.821984
4,could current,Toys,60,6,5016,2024-10-23 21:56:56.821984
5,think left,Books,31,13,4360,2024-10-23 21:56:56.821984
6,check toward,Toys,37,26,4327,2024-10-23 21:56:56.821984
7,improve type,Electronics,48,42,4087,2024-10-23 21:56:56.821984
8,concern do,Clothing,59,50,4880,2024-10-23 21:56:56.821984
9,nearly author,Grocery,75,29,4975,2024-10-23 21:56:56.821984
10,pressure like,Clothing,6,4,4258,2024-10-23 21:56:56.821984
11,gun research,Books,11,29,4531,2024-10-23 21:56:56.821984
12,apply save,Grocery,60,10,4804,2024-10-23 21:56:56.821984
13,goal argue,Furniture,66,46,4222,2024-10-23 21:56:56.821984
14,attack candidate,Toys,18,15,4864,2024-10-23 21:56:56.821984
15,maybe out,Grocery,73,23,4724,2024-10-23 21:56:56.821984
16,turn entire,Furniture,67,48,5027,2024-10-23 21:56:56.821984
17,force money,Books,39,11,4992,2024-10-23 21:56:56.821984
18,everything small,Furniture,5,8,4823,2024-10-23 21:56:56.821984
19,north risk,Books,19,27,4387,2024-10-23 21:56:56.821984
20,discussion Congress,Furniture,49,41,4628,2024-10-23 21:56:56.821984
21,charge citizen,Grocery,43,8,4845,2024-10-23 21:56:56.821984
22,no kid,Furniture,25,19,4873,2024-10-23 21:56:56.821984
23,man throw,Grocery,22,30,4697,2024-10-23 21:56:56.821984
24,PM anyone,Furniture,70,21,4790,2024-10-23 21:56:56.821984
25,alone behind,Toys,65,39,4982,2024-10-23 21:56:56.821984
26,run treatment,Grocery,94,50,4532,2024-10-23 21:56:56.821984
27,trouble she,Grocery,45,15,5035,2024-10-23 21:56:56.821984
28,month general,Toys,38,48,4364,2024-10-23 21:56:56.821984
29,rise leave,Furniture,34,10,4684,2024-10-23 21:56:56.821984
30,check stock,Furniture,14,34,5019,2024-10-23 21:56:56.821984
31,bill method,Furniture,19,15,4804,2024-10-23 21:56:56.821984
32,second big,Electronics,59,5,4245,2024-10-23 21:56:56.821984
33,around during,Grocery,79,26,4626,2024-10-23 21:56:56.821984
34,on sure,Grocery,65,16,4910,2024-10-23 21:56:56.821984
35,turn can,Furniture,53,35,4548,2024-10-23 21:56:56.821984
36,sometimes course,Electronics,40,48,4476,2024-10-23 21:56:56.821984
37,crime heart,Books,63,3,4176,2024-10-23 21:56:56.821984
38,break cultural,Electronics,28,21,4902,2024-10-23 21:56:56.821984
39,attack whether,Books,44,49,4574,2024-10-23 21:56:56.821984
40,smile scientist,Books,88,39,4916,2024-10-23 21:56:56.821984
41,model task,Toys,58,5,4335,2024-10-23 21:56:56.821984
42,general someone,Grocery,66,3,4661,2024-10-23 21:56:56.821984
43,fly moment,Grocery,93,2,4737,2024-10-23 21:56:56.821984
44,cultural stock,Electronics,45,39,4680,2024-10-23 21:56:56.821984
45,radio him,Electronics,82,19,4859,2024-10-23 21:56:56.821984
46,letter see,Toys,46,45,4569,2024-10-23 21:56:56.821984
47,garden weight,Books,71,24,4106,2024-10-23 21:56:56.821984
48,whatever toward,Grocery,57,27,4538,2024-10-23 21:56:56.821984
49,body from,Grocery,27,38,4974,2024-10-23 21:56:56.821984
50,idea woman,Toys,26,33,4992,2024-10-23 21:56:56.821984
51,ten there,Books,56,18,4977,2024-10-23 21:56:56.821984
52,either national,Grocery,97,41,4534,2024-10-23 21:56:56.821984
53,up draw,Grocery,83,34,4125,2024-10-23 21:56:56.821984
54,down if,Books,57,46,4951,2024-10-23 21:56:56.821984
55,hard these,Clothing,41,16,4121,2024-10-23 21:56:56.821984
56,road certain,Toys,85,17,4544,2024-10-23 21:56:56.821984
57,ground ready,Books,97,50,4272,2024-10-23 21:56:56.821984
58,require remember,Toys,10,26,5020,2024-10-23 21:56:56.821984
59,a easy,Furniture,80,17,4340,2024-10-23 21:56:56.821984
60,throw stage,Books,25,26,4603,2024-10-23 21:56:56.821984
61,tell role,Furniture,34,40,4116,2024-10-23 21:56:56.821984
62,organization on,Books,65,48,4791,2024-10-23 21:56:56.821984
63,quite be,Grocery,30,42,4109,2024-10-23 21:56:56.821984
64,stand series,Clothing,7,26,4744,2024-10-23 21:56:56.821984
65,reason name,Electronics,97,12,4924,2024-10-23 21:56:56.821984
66,different per,Electronics,88,45,4573,2024-10-23 21:56:56.821984
67,institution probably,Electronics,90,32,4758,2024-10-23 21:56:56.821984
68,together in,Electronics,23,39,4151,2024-10-23 21:56:56.821984
69,yard do,Books,22,24,4133,2024-10-23 21:56:56.821984
70,room page,Grocery,35,4,4764,2024-10-23 21:56:56.821984
71,writer along,Toys,84,46,4304,2024-10-23 21:56:56.821984
72,share society,Grocery,11,34,4978,2024-10-23 21:56:56.821984
73,prepare able,Books,60,7,4555,2024-10-23 21:56:56.821984
74,affect me,Books,4,14,4673,2024-10-23 21:56:56.821984
75,nice cause,Toys,67,37,4371,2024-10-23 21:56:56.821984
76,another officer,Furniture,18,8,4093,2024-10-23 21:56:56.821984
77,stage sometimes,Grocery,33,44,4858,2024-10-23 21:56:56.821984
78,truth responsibility,Toys,60,25,4079,2024-10-23 21:56:56.821984
79,book affect,Grocery,32,9,4202,2024-10-23 21:56:56.821984
80,travel city,Furniture,55,27,4707,2024-10-23 21:56:56.821984
81,section human,Toys,61,39,4486,2024-10-23 21:56:56.821984
82,be add,Clothing,61,41,5023,2024-10-23 21:56:56.821984
83,glass property,Electronics,4,48,4944,2024-10-23 21:56:56.821984
84,street pattern,Grocery,10,35,4296,2024-10-23 21:56:56.821984
85,heart in,Electronics,87,35,4656,2024-10-23 21:56:56.821984
86,write here,Furniture,89,40,4953,2024-10-23 21:56:56.821984
87,his rather,Books,4,20,4369,2024-10-23 21:56:56.821984
88,owner list,Clothing,65,9,4182,2024-10-23 21:56:56.821984
89,yet discussion,Books,98,44,4518,2024-10-23 21:56:56.821984
90,discuss morning,Furniture,15,1,4179,2024-10-23 21:56:56.821984
91,indeed beyond,Books,20,41,4358,2024-10-23 21:56:56.821984
92,television stay,Clothing,70,5,4068,2024-10-23 21:56:56.821984
93,miss organization,Electronics,13,15,5007,2024-10-23 21:56:56.821984
94,grow old,Clothing,27,37,4143,2024-10-23 21:56:56.821984
95,opportunity board,Electronics,19,39,4132,2024-10-23 21:56:56.821984
96,whom similar,Electronics,5,10,4356,2024-10-23 21:56:56.821984
97,month meeting,Toys,39,49,4802,2024-10-23 21:56:56.821984
98,career condition,Clothing,7,41,4468,2024-10-23 21:56:56.821984
99,experience memory,Electronics,90,11,4580,2024-10-23 21:56:56.821984
100,make provide,Books,25,5,4877,2024-10-23 21:56:56.821984
101,visit know,Books,22,27,4296,2024-10-23 21:56:56.821984
102,watch ball,Toys,91,40,4149,2024-10-23 21:56:56.821984
103,wrong model,Toys,53,29,4409,2024-10-23 21:56:56.821984
104,too who,Grocery,74,5,4561,2024-10-23 21:56:56.821984
105,network need,Clothing,72,25,4932,2024-10-23 21:56:56.821984
106,dark nature,Clothing,49,36,4931,2024-10-23 21:56:56.821984
107,guess again,Furniture,91,30,4110,2024-10-23 21:56:56.821984
108,perhaps economic,Furniture,23,27,4625,2024-10-23 21:56:56.821984
109,discuss industry,Clothing,88,37,4989,2024-10-23 21:56:56.821984
110,girl trip,Clothing,14,45,4917,2024-10-23 21:56:56.821984
111,other these,Clothing,22,16,4436,2024-10-23 21:56:56.821984
112,system bank,Grocery,87,26,4988,2024-10-23 21:56:56.821984
113,action room,Furniture,7,31,4195,2024-10-23 21:56:56.821984
114,better space,Furniture,21,28,4397,2024-10-23 21:56:56.821984
115,film important,Toys,67,43,4811,2024-10-23 21:56:56.821984
116,member positive,Clothing,73,19,4380,2024-10-23 21:56:56.821984
117,writer star,Furniture,11,29,4939,2024-10-23 21:56:56.821984
118,politics wrong,Furniture,18,8,4695,2024-10-23 21:56:56.821984
119,you according,Toys,29,43,4841,2024-10-23 21:56:56.821984
120,number side,Clothing,42,23,5044,2024-10-23 21:56:56.821984
121,company over,Toys,77,18,4151,2024-10-23 21:56:56.821984
122,value call,Toys,76,18,4566,2024-10-23 21:56:56.821984
123,involve subject,Grocery,81,21,4676,2024-10-23 21:56:56.821984
124,road their,Books,86,19,4382,2024-10-23 21:56:56.821984
125,can position,Electronics,75,49,4820,2024-10-23 21:56:56.821984
126,later time,Clothing,44,35,4258,2024-10-23 21:56:56.821984
127,sound writer,Toys,21,15,4601,2024-10-23 21:56:56.821984
128,performance easy,Electronics,100,36,4755,2024-10-23 21:56:56.821984
129,someone effort,Toys,34,7,4392,2024-10-23 21:56:56.821984
130,summer democratic,Grocery,86,4,4592,2024-10-23 21:56:56.821984
131,article full,Toys,48,12,4968,2024-10-23 21:56:56.821984
132,method interesting,Electronics,1,38,4818,2024-10-23 21:56:56.821984
133,vote day,Grocery,13,29,4812,2024-10-23 21:56:56.821984
134,race but,Books,95,30,4807,2024-10-23 21:56:56.821984
135,act perform,Furniture,80,25,4190,2024-10-23 21:56:56.821984
136,medical manager,Books,34,20,4845,2024-10-23 21:56:56.821984
137,consumer bank,Clothing,21,29,4117,2024-10-23 21:56:56.821984
138,week still,Clothing,29,15,4461,2024-10-23 21:56:56.821984
139,near happen,Clothing,96,42,4660,2024-10-23 21:56:56.821984
140,she health,Books,99,11,4427,2024-10-23 21:56:56.821984
141,have family,Electronics,36,41,4430,2024-10-23 21:56:56.821984
142,tend serious,Books,36,4,4718,2024-10-23 21:56:56.821984
143,second dark,Books,17,23,4667,2024-10-23 21:56:56.821984
144,produce hear,Books,20,19,4530,2024-10-23 21:56:56.821984
145,type identify,Toys,73,25,4474,2024-10-23 21:56:56.821984
146,vote glass,Clothing,8,50,4512,2024-10-23 21:56:56.821984
147,throw produce,Books,30,6,4940,2024-10-23 21:56:56.821984
148,leader hit,Electronics,46,19,4887,2024-10-23 21:56:56.821984
149,happy tend,Electronics,66,6,4927,2024-10-23 21:56:56.821984
150,cut land,Clothing,81,28,4785,2024-10-23 21:56:56.821984
151,help agreement,Electronics,41,26,4758,2024-10-23 21:56:56.821984
152,can eat,Toys,99,35,4641,2024-10-23 21:56:56.821984
153,less free,Books,46,28,4854,2024-10-23 21:56:56.821984
154,million shoulder,Toys,36,31,4367,2024-10-23 21:56:56.821984
155,data concern,Grocery,68,28,4553,2024-10-23 21:56:56.821984
156,minute college,Grocery,12,47,4531,2024-10-23 21:56:56.821984
157,radio tree,Toys,26,15,5043,2024-10-23 21:56:56.821984
158,long seat,Furniture,39,38,4655,2024-10-23 21:56:56.821984
159,organization three,Toys,46,13,4658,2024-10-23 21:56:56.821984
160,perform claim,Electronics,56,15,4705,2024-10-23 21:56:56.821984
161,drop writer,Toys,22,26,4088,2024-10-23 21:56:56.821984
162,attorney nice,Toys,41,4,4762,2024-10-23 21:56:56.821984
163,develop student,Electronics,57,14,4245,2024-10-23 21:56:56.821984
164,animal choose,Grocery,59,28,4173,2024-10-23 21:56:56.821984
165,director crime,Grocery,68,45,4399,2024-10-23 21:56:56.821984
166,need allow,Grocery,48,23,4149,2024-10-23 21:56:56.821984
167,test suffer,Clothing,3,49,4883,2024-10-23 21:56:56.821984
168,most focus,Grocery,96,25,4192,2024-10-23 21:56:56.821984
169,lawyer a,Furniture,76,46,4541,2024-10-23 21:56:56.821984
170,idea could,Toys,57,38,4294,2024-10-23 21:56:56.821984
171,professor if,Books,74,18,4059,2024-10-23 21:56:56.821984
172,himself produce,Grocery,35,17,4401,2024-10-23 21:56:56.821984
173,our wide,Furniture,35,50,4337,2024-10-23 21:56:56.821984
174,send occur,Books,100,40,4447,2024-10-23 21:56:56.821984
175,ball send,Books,86,48,4060,2024-10-23 21:56:56.821984
176,move box,Books,29,7,4691,2024-10-23 21:56:56.821984
177,small occur,Electronics,71,18,4164,2024-10-23 21:56:56.821984
178,result memory,Books,95,1,4334,2024-10-23 21:56:56.821984
179,claim produce,Books,59,16,4351,2024-10-23 21:56:56.821984
180,century street,Toys,93,35,4685,2024-10-23 21:56:56.821984
181,now financial,Electronics,71,12,4836,2024-10-23 21:56:56.821984
182,into generation,Toys,40,4,4712,2024-10-23 21:56:56.821984
183,hope whole,Furniture,79,18,4636,2024-10-23 21:56:56.821984
184,election possible,Furniture,96,7,5024,2024-10-23 21:56:56.821984
185,common since,Clothing,67,37,4124,2024-10-23 21:56:56.821984
186,picture purpose,Books,11,8,4875,2024-10-23 21:56:56.821984
187,whose image,Grocery,74,41,4705,2024-10-23 21:56:56.821984
188,scientist stage,Grocery,86,11,4587,2024-10-23 21:56:56.821984
189,close best,Electronics,86,17,4429,2024-10-23 21:56:56.821984
190,wide run,Books,4,13,4171,2024-10-23 21:56:56.821984
191,could program,Furniture,39,6,4997,2024-10-23 21:56:56.821984
192,voice maybe,Furniture,84,12,4347,2024-10-23 21:56:56.821984
193,for gas,Grocery,58,48,4750,2024-10-23 21:56:56.821984
194,reality against,Toys,67,26,4682,2024-10-23 21:56:56.821984
195,air human,Electronics,17,34,4884,2024-10-23 21:56:56.821984
196,yeah how,Grocery,36,4,4980,2024-10-23 21:56:56.821984
197,wind eight,Furniture,59,39,4853,2024-10-23 21:56:56.821984
198,paper result,Furniture,55,4,4499,2024-10-23 21:56:56.821984
199,assume your,Clothing,37,28,4374,2024-10-23 21:56:56.821984
200,about throw,Electronics,33,43,4276,2024-10-23 21:56:56.821984
201,news say,Grocery,67,24,4212,2024-10-23 21:56:56.821984
202,have painting,Grocery,84,14,4189,2024-10-23 21:56:56.821984
203,region bank,Grocery,67,23,4716,2024-10-23 21:56:56.821984
204,watch sometimes,Grocery,77,5,4087,2024-10-23 21:56:56.821984
205,nor concern,Clothing,56,46,4869,2024-10-23 21:56:56.821984
206,his view,Toys,86,38,4223,2024-10-23 21:56:56.821984
207,house response,Toys,29,7,4952,2024-10-23 21:56:56.821984
208,street power,Grocery,69,31,4788,2024-10-23 21:56:56.821984
209,work this,Toys,90,48,4338,2024-10-23 21:56:56.821984
210,past realize,Electronics,31,46,4305,2024-10-23 21:56:56.821984
