store_id,store_name,location,manager_name,sales,region
1,Miller and Sons Store,"3140 Carl Cove, Huffmanport, CO 61464",John Wagner,99532.00,West
2,"Nelson, Pham and Williams Store","98508 Taylor Rapids, Port Williamfort, AZ 58494",Amanda Meyer,88897.00,North
3,"Giles, Farmer and Gonzalez Store","USNV Francis, FPO AP 31141",Christopher Harmon,98234.00,East
4,Dawson-Lawson Store,"03211 Ballard Mountains, North Brian, ND 23649",Anthony Wilson,63902.00,Central
5,Campbell Group Store,"9026 Robert Ridges Suite 272, Lake Roberthaven, RI 64930",Sheila Simmons,56310.00,East
6,"Davis, Torres and Stout Store","5880 Lori Pass Apt. 166, Forbesstad, AR 57380",Mary Miller,32418.00,Central
7,"Dominguez, Henderson and Daniel Store","70298 Williams Drives, East Masonview, MN 84834",Patrick Harrell,12602.00,West
8,Padilla PLC Store,"2689 Boone Run, Kennethfort, FL 63432",Isabella Cook,6533.00,North
9,Horne Ltd Store,"USNV Farrell, FPO AE 87412",Dustin Santana Jr.,40112.00,North
10,"White, Thompson and Johnson Store","352 Morrison Court, New Samantha, TN 05059",Robert Gardner,23149.00,Central
11,"Gray, Moore and Pruitt Store","444 Moore Turnpike Suite 391, East Wandaville, WI 31748",Jesse Perez,34870.00,South
12,"Stewart, Alexander and Gomez Store","0506 Lisa Gateway Suite 011, East Erin, VA 46968",Jennifer Hayes,49902.00,South
13,"Little, Nolan and Ramos Store","72742 Barry Mill Apt. 484, West Cheyenne, TN 79252",Thomas Johnson,9781.00,Central
14,Ritter-Simmons Store,"792 Harrington Field Suite 961, North Sarashire, HI 42953",Andre Lee,10286.00,South
15,Cook-Walker Store,"26285 Wilkins Crest, Christophershire, IA 69568",Nathaniel Brooks,32940.00,East
16,Stuart Inc Store,"107 Bailey Parks, Lake Stephanie, NC 02594",Kimberly Collins,86747.00,East
17,"Shannon, Griffin and Williams Store","79328 Garrett Cliffs Apt. 827, New Christina, MO 54622",David Graham,89896.00,West
18,Tran-Shields Store,"92789 Shelton Bypass Apt. 658, Pittsstad, IA 68779",Caleb Hines,25293.00,West
19,Nelson-Shields Store,"261 Lisa Dam Suite 527, Lisamouth, MO 26009",Steven Gonzalez,93479.00,West
20,Butler Group Store,"4566 Watts Courts Apt. 354, Garzaborough, DC 01311",Rita Osborne,838.00,South
21,Cook-Jones Store,"55992 Moore Fords Apt. 273, Timothymouth, WY 53636",Debra Rasmussen,78401.00,Central
22,Gonzalez-Young Store,"402 Ricardo Mission Apt. 304, Kellyland, KS 04611",Misty Kaufman,41175.00,East
23,"Harris, Graham and Jones Store","4233 Lisa Isle Apt. 364, Sellerstown, AS 69519",Amy James,20118.00,East
24,Ball-Wells Store,"790 Chavez Fort Apt. 030, North Josephborough, MS 59240",Teresa Hill,12648.00,South
25,Shelton PLC Store,"0233 Hobbs Loop Apt. 437, Shaunton, SD 54684",Susan Thompson,13153.00,North
26,Bryant Ltd Store,"10021 Gilbert Lodge, Daisyside, UT 39219",Edward Brennan,82988.00,East
27,Anderson-Schultz Store,"5155 Bonilla Place Apt. 048, Port Alexanderfort, RI 16027",Robert Stout,58461.00,Central
28,Griffin-Wood Store,"5800 Bryan Mount Suite 381, East Dennisbury, KS 77908",Darlene Foster,61245.00,East
29,Cooke Ltd Store,"56580 Gill Heights, Matthewchester, PW 74865",Jeffrey Navarro,48952.00,West
30,"Smith, Oliver and Avila Store","55454 Pena Glens Suite 541, Patriciaton, TN 09521",Scott Jackson,60550.00,West
31,Cervantes and Sons Store,"43358 Amanda Port Apt. 862, Joannamouth, DE 23388",Christian Roberts,15906.00,South
32,Delgado Group Store,"6772 James Parkways, Mccormickberg, NC 50652",John Peterson,32093.00,Central
33,Morales PLC Store,"01967 Holland Ridges, Alexanderfurt, HI 22814",Yolanda Henry,49973.00,Central
