store_id,store_name,location,manager_name,sales,region,manager_id
26,Bryant Ltd Store,"10021 Gilbert Lodge, Daisyside, UT 39219",David Miller,82988.00,East,386
27,Anderson-Schultz Store,"5155 Bonilla Place Apt. 048, Port Alexanderfort, RI 16027",Lisa Brown,58461.00,Central,27
30,"Smith, Oliver and Avila Store","55454 Pena Glens Suite 541, Patriciaton, TN 09521",Michael Smith,60550.00,West,166
31,Cervantes and Sons Store,"43358 Amanda Port Apt. 862, Joannamouth, DE 23388",Robert Brown,15906.00,South,156
32,Delgado Group Store,"6772 James Parkways, Mccormickberg, NC 50652",David Williams,32093.00,Central,6
33,Morales PLC Store,"01967 Holland Ridges, Alexanderfurt, HI 22814",Jane Davis,49973.00,Central,172
25,Shelton PLC Store,"0233 Hobbs Loop Apt. 437, Shaunton, SD 54684",,13153.00,North,
28,Griffin-Wood Store,"5800 Bryan Mount Suite 381, East Dennisbury, KS 77908",,61245.00,East,
29,Cooke Ltd Store,"56580 Gill Heights, Matthewchester, PW 74865",,48952.00,West,
34,Benson-Allen Store,"265 Shaw Ramp Suite 682, Drewborough, MN 26160",David Smith,8890.00,West,34
35,"Mendoza, Bell and Meyer Store","51317 Bryant Park, Scottmouth, PR 94389",,81850.00,East,
36,"Snyder, Rubio and Larson Store","39497 Miller Rapid Suite 369, South Austinport, NH 61431",,79732.00,Central,
37,House-Holland Store,"5169 Dunn Ville, Thomasview, IA 56727",,35744.00,West,
38,Allen Ltd Store,"Unit 8923 Box 0687, DPO AE 15250",,70901.00,Central,
40,"Smith, Villanueva and Mcintosh Store","6461 Freeman Fork, Hansenside, MD 39344",,12052.00,East,
42,Moore Ltd Store,"0596 Brandi Trafficway Suite 448, Rasmussenberg, AL 23418",,9346.00,Central,
43,Williams-Calhoun Store,"63981 Lee Estate Apt. 803, Brownhaven, AZ 49450",,21496.00,East,
45,Sims-Fisher Store,"2661 Robin Court, Port Timothy, NJ 05225",,17893.00,Central,
46,"Mullins, Cross and Hess Store","34312 Harris Shoals, Robertborough, IL 38258",,15597.00,South,
51,Mcdonald-Smith Store,"5386 Andersen Loaf, North Toddstad, NY 53594",,88152.00,South,
53,Montgomery-Cross Store,"27959 Jimenez Burg, Lake Christinafort, LA 52301",,22507.00,South,
55,Hernandez Ltd Store,"293 Madeline Pines Suite 619, Luceroburgh, GU 12145",,10075.00,North,
56,Adams-Sanchez Store,"0974 Karen Keys Suite 897, Williamsside, AK 34876",,87238.00,South,
58,"Butler, Pitts and Clark Store","59349 Eric Plaza, Wellsmouth, ND 76589",,87215.00,South,
59,Mcdonald LLC Store,"0719 Richard Circles Suite 700, Williamshaven, IL 91747",,95841.00,South,
60,Rodriguez PLC Store,"74581 Webster Green, West Jenniferfurt, AK 59553",,79791.00,Central,
61,Robinson-Ellis Store,"75823 Stephanie Row Suite 873, New Tonychester, MT 30036",,45699.00,East,
62,Hernandez Inc Store,"67497 French Mount Apt. 180, Robertsborough, WA 88091",,56425.00,South,
64,Lawrence Group Store,"92080 Lopez Junctions, North Christineborough, MS 11624",,12751.00,West,
66,Hines-Anderson Store,"30906 Gonzalez Dale Suite 074, Jamesmouth, RI 62944",,98564.00,South,
67,Clark-Guzman Store,"412 Huff Stream, Andreamouth, IA 49390",,18835.00,West,
68,Taylor LLC Store,"852 Erica Course Apt. 822, Josephbury, IA 14744",,13441.00,East,
71,Harris-Gonzalez Store,"1891 Timothy Vista Suite 221, Port Masonhaven, PA 82975",,20496.00,West,
73,"King, Davenport and Gallegos Store","5012 Jackson Canyon, Walshstad, MN 05487",,2358.00,West,
74,"Moore, Benson and Graham Store","04572 Navarro Grove Apt. 115, Campbellburgh, ID 98286",,17974.00,West,
75,Jones Inc Store,"6017 Cruz Keys Suite 098, New Kimberly, AK 86535",,81188.00,Central,
76,Frazier-Townsend Store,"749 Martin Alley, Colemanborough, CA 34124",,7623.00,North,
77,Doyle-Nelson Store,"40938 Crystal View, Port Erik, IL 11100",,65443.00,Central,
79,"Mason, Martinez and Jones Store","27621 Green Mountains, Gregoryview, MP 78601",,68094.00,West,
80,Villa-Ashley Store,"81313 Aaron Hill Apt. 726, New Matthew, TX 25287",,4799.00,West,
81,Mcconnell LLC Store,"0750 Samuel Course, Susanchester, MI 01899",,87971.00,East,
83,Jones-Bowen Store,"979 Gamble Land Suite 247, Brownchester, MS 97591",,28230.00,East,
85,"Hood, Green and Brown Store","228 April Meadows Apt. 438, North Edward, IL 59730",,56956.00,South,
86,"Pearson, Williams and Smith Store","PSC 3645, Box 7946, APO AA 91625",,10298.00,North,
88,Drake-Phillips Store,"9779 Gregory Estate Suite 215, Port Carla, NJ 39663",,61057.00,West,
90,Little Group Store,"35544 Brandon Freeway, South Robert, NM 16608",,35917.00,Central,
91,"George, Castillo and Thomas Store","221 Ashley Land, West Nicholasland, AZ 54694",,14250.00,South,
94,"Mercer, Cochran and Schneider Store","47695 Taylor Squares Suite 750, West Eriktown, NM 16332",,86939.00,Central,
96,"Hess, Wilkerson and Vang Store","3319 Kathleen Ridges, Edwardstown, NE 56603",,77087.00,West,
98,"Rose, Roberts and Santana Store","608 Jerry Tunnel Suite 519, Albertbury, NM 01765",,11862.00,West,
100,"Rogers, Gardner and Sparks Store","83898 Anthony Plains, Meyershaven, VT 12299",,53013.00,West,
102,"Adams, Morgan and Smith Store","70461 Andrea Shore Suite 345, Christineside, AK 60008",,72551.00,South,
103,Ferguson Ltd Store,"17625 Kurt Bypass, Gonzalezport, SC 68880",,26919.00,North,
104,Thomas-Jones Store,"23470 Duncan Drive, South Norma, NJ 93389",,12501.00,North,
105,"Deleon, Rose and Brown Store","6867 Rick Ways, South Donnamouth, SD 12597",,51223.00,South,
107,Keller LLC Store,"9711 Kathy Divide, New Stephanie, FL 70346",,86619.00,South,
108,"Miller, Brooks and Harris Store","7426 Myers Rue, Teresabury, MI 32898",,54715.00,West,
109,Young-Mccoy Store,"2086 Nguyen Estate, West Meghanmouth, OR 97983",,88631.00,West,
111,Garcia-Moore Store,"753 Ramirez Parks Apt. 192, Barnesland, VI 95208",,80198.00,Central,
112,"Williams, Fuller and Montgomery Store","475 Allison Shoals, North Gregory, NM 33396",,85855.00,North,
113,Gonzalez-Dorsey Store,"5138 Manning Manors Apt. 013, Curryfort, LA 32218",,66097.00,South,
114,Smith-White Store,"PSC 3394, Box 2394, APO AP 47930",,97461.00,West,
115,Nguyen LLC Store,"61172 Raymond Lane Suite 520, East Henry, MA 41212",,17088.00,North,
116,"Reyes, Ferguson and Singh Store","33535 Mcmillan Circle Suite 442, Jenkinsport, PR 38846",,84618.00,North,
120,Smith-White Store,"48331 Ortiz Green Apt. 106, West Robertberg, WV 66134",,67109.00,South,
126,Jones-Harris Store,"686 Lawson Row Apt. 861, West Justin, IA 12021",,14983.00,Central,
127,Meyer Group Store,"834 Angela Springs, New Brandon, LA 36237",,50116.00,North,
130,"Vazquez, Nelson and Hughes Store","47694 George Inlet, Lake Kyleside, NH 28837",,75648.00,West,
131,"Sanchez, Foster and Clark Store","59958 Estrada Drives Apt. 889, North Steven, MP 17892",,90763.00,East,
132,Bullock-Reyes Store,"338 Wood Mountains Suite 686, Andersonport, TN 70124",,64479.00,East,
134,Miller Group Store,"75637 Castro Freeway, Jennaview, OH 10778",,88541.00,West,
136,"Ward, Richards and Simmons Store","Unit 9060 Box 3934, DPO AA 83576",,88401.00,West,
137,"Cole, Stevens and Patterson Store","3319 Webster Ports, Calebview, MT 12833",,91377.00,South,
138,"Moore, Webb and James Store","099 Pruitt Unions, Jamesville, NV 90775",,81768.00,Central,
140,"Greene, Hernandez and Garcia Store","4618 Payne Key, Lake Angelafort, WY 38710",,50762.00,South,
141,White LLC Store,"613 Donna Locks, Campbellview, MA 81952",,70049.00,West,
142,Mitchell Inc Store,"Unit 8030 Box 7549, DPO AE 67167",,8257.00,Central,
143,Fisher and Sons Store,"3632 Wendy Expressway, Anthonyport, MI 69403",,92478.00,South,
146,Sloan Ltd Store,"373 Wendy Overpass, Jamesview, KY 40814",,60704.00,East,
149,"Rowe, Hernandez and Wheeler Store","386 Hernandez Park, Hughesfort, IA 68793",,44219.00,West,
150,Robinson-Green Store,"644 Melton Flats, South Ethan, RI 64041",,30737.00,East,
151,"Jones, Reyes and Rasmussen Store","337 John Mount, North Brandon, VI 65751",,40892.00,West,
152,"Ramirez, Carter and Morris Store","423 Kelly Ramp, East Angela, TN 55394",,6978.00,East,
154,"Garcia, Bishop and Berger Store","Unit 9659 Box 6332, DPO AP 29912",,16772.00,East,
157,Davis Group Store,"51192 Amanda Fork, Matthewbury, CA 50542",,81292.00,East,
158,"Garcia, Charles and Murphy Store","93797 Rhodes Knolls Suite 890, Hardintown, WV 47094",,75900.00,West,
160,Irwin PLC Store,"1668 Adam Parkways Apt. 844, Dylanland, CO 38907",,1123.00,Central,
161,Thompson-Alvarez Store,"10296 Leslie Mountains Apt. 721, Johnsonfurt, PA 13692",,89672.00,South,
133,Mckee Ltd Store,"329 William Lakes, Lake Ericbury, GU 44784",,37471.00,North,
162,"Wells, Nichols and Coleman Store","728 Jerry Cape Apt. 863, South Toddmouth, RI 36337",,42780.00,East,
163,Cordova-Lara Store,"52056 Clark Estate Apt. 058, Mariabury, FL 98791",,69638.00,South,
164,Perry-Stevens Store,"188 Adams Island Apt. 854, Patrickfurt, MN 12968",,65266.00,East,
170,"Hayes, Carpenter and Rich Store","121 Kathleen Crossroad Suite 486, Port Tylerhaven, AL 35724",,33744.00,West,
174,"Avila, Johnson and Allen Store","06575 Trujillo Via Suite 076, Jamesside, OK 43927",,72280.00,North,
176,Hooper-Murphy Store,"331 Joseph Lake Apt. 459, North Derek, NJ 43660",,37872.00,East,
177,Mays Group Store,"94118 Jay Gardens, Myersbury, WY 32246",,41149.00,Central,
178,"Coleman, Glass and Chavez Store","USS Davis, FPO AE 69509",,82461.00,North,
180,Christian Group Store,"0146 Gomez Pine, Staceyport, VT 36433",,82027.00,South,
181,Wallace-Taylor Store,"200 Smith Mission, South Cherylchester, FM 37626",,84833.00,East,
182,"Gonzalez, Owens and Clayton Store","32120 Ann Plains, Hallton, ID 97678",,90280.00,South,
187,Taylor Ltd Store,"7899 Woodard Square Suite 695, North Todd, VI 68464",,3009.00,North,
189,"Chambers, Stafford and Johnston Store","612 Nunez Center, New Markbury, WA 96794",,76441.00,South,
191,Harris Inc Store,"641 Travis Cliffs Apt. 103, Kelliburgh, WI 35437",,17116.00,North,
192,Jones and Sons Store,"Unit 6294 Box 9648, DPO AE 21224",,73784.00,East,
193,"Sawyer, Scott and Walker Store","4301 Christian Mission Suite 518, Johnfort, FM 01736",,12709.00,South,
194,Molina-Gonzalez Store,"6653 Stewart Springs Suite 511, West Theresabury, ID 66320",,86090.00,West,
195,"Walters, Powell and Morrison Store","97077 Rachel Parks, Jamesmouth, IA 38642",,94298.00,Central,
196,Reilly-Richard Store,"86496 Jennifer Parks, Sharonfurt, GA 58209",,76092.00,West,
197,"Duncan, Nichols and Smith Store","48882 Medina Greens, Elizabethville, GU 73834",,85055.00,South,
201,Campbell-Taylor Store,"965 Clark Crossroad Suite 682, South Erica, MP 75776",,38757.00,South,
202,"Johnson, Baldwin and Duncan Store","350 Mitchell Glen, Calebmouth, MO 84025",,86765.00,East,
203,"Townsend, Kennedy and Gutierrez Store","8827 Vanessa Brooks Suite 475, North Amber, WI 14417",,98667.00,North,
204,Ward and Sons Store,"181 Wilson Mountain, South Craigtown, VI 87073",,87982.00,North,
205,Gonzalez-Price Store,"1690 Jennifer Stravenue, Perezville, HI 84807",,75424.00,East,
206,Prince Group Store,"1463 Horton Valleys Apt. 258, East Rhonda, CA 13256",,28745.00,East,
208,"Brown, Garcia and Bernard Store","0275 Janet Ford, North Nicole, WA 40277",,81019.00,East,
210,Burton-Phillips Store,"6726 Massey Ports, Dunnbury, AZ 94385",,32323.00,East,
211,Parker-Kelley Store,"612 Russell Locks Apt. 425, Deanburgh, GA 68211",,28011.00,South,
212,Stevens-Briggs Store,"7364 Thomas Tunnel Suite 524, East Renee, DC 72021",,55389.00,North,
213,Lee-Dixon Store,"34549 Sullivan Mountains, Valdezbury, NM 64153",,18904.00,Central,
214,"Garcia, West and Gilbert Store","6813 Herman Cove Apt. 403, Mccormickhaven, PR 95584",,5396.00,North,
217,English Ltd Store,"396 Branch Lakes Apt. 959, Bryanborough, CT 39408",,45661.00,East,
219,Barry LLC Store,"1090 Micheal Brooks Apt. 596, Smithchester, TX 82115",,3939.00,North,
220,"Moore, Young and Holmes Store","9414 Mitchell Cape Apt. 513, Lake Brian, MD 81957",,14778.00,West,
221,Arnold Ltd Store,"17676 Peck Coves Suite 196, South Melissa, IN 22738",,13531.00,Central,
222,Bryant-Osborn Store,"118 Smith Spring Suite 110, New Sharonfort, LA 22375",,70951.00,South,
225,Carter-Moore Store,"PSC 6337, Box 4077, APO AE 80510",,45663.00,South,
226,Webb-Huber Store,"Unit 3019 Box 6019, DPO AP 36263",,55382.00,Central,
227,"Baxter, Wagner and Jackson Store","497 Wood Skyway Suite 981, Lewismouth, TN 08263",,63244.00,North,
231,Chapman-Wilkins Store,"55156 Gill Highway Suite 675, Timothyfort, LA 37410",,6514.00,South,
232,Schultz-Parsons Store,"3976 Todd Villages Suite 337, Sharonchester, GA 23522",,40971.00,West,
233,Martin-Smith Store,"7757 Stuart Station Suite 220, Rebeccaborough, PR 98968",,43835.00,Central,
234,Martin PLC Store,"8260 Thomas Rapid Suite 875, Kellyfurt, PW 90493",,12367.00,South,
236,Howard LLC Store,"79886 Murphy Alley Suite 057, South Chadbury, OK 96254",,386.00,South,
237,Harris-Cain Store,"8817 James Bypass, Franklinborough, HI 57822",,8061.00,East,
238,Green Group Store,"92482 Randolph Mall, Bethanyfort, CA 64557",,46651.00,East,
239,Kline Group Store,"PSC 3917, Box 0302, APO AA 08411",,4630.00,West,
240,"Meza, Harrison and Byrd Store","34667 Petersen Burg, Port Katie, VT 09833",,35595.00,South,
241,Adams and Sons Store,"07656 Wilson Wells Suite 676, Lake Stephanieside, ID 99040",,23558.00,North,
242,"Adams, Watkins and Shannon Store","4664 Jason Keys, East Joshua, TN 25451",,74481.00,South,
243,Davis Inc Store,"25155 Scott Alley Suite 313, New Sethberg, MH 20676",,74928.00,East,
245,"Taylor, Hernandez and Guerrero Store","731 Miller Greens, South Bryanmouth, KY 32039",,63605.00,East,
246,Ramirez Inc Store,"277 Melissa Prairie Apt. 912, Samanthaville, IL 93581",,59776.00,East,
247,Moss and Sons Store,"5608 Roy Cliff, Loritown, WV 76701",,5866.00,South,
249,Davenport Group Store,"429 Wilcox Cove Suite 719, Espinozaborough, PA 46626",,30134.00,West,
250,Roach PLC Store,"682 Shepherd Trafficway, Port Jamesburgh, NE 56463",,93623.00,West,
251,"Adams, Stewart and Doyle Store","Unit 3733 Box 8739, DPO AE 31550",,79158.00,North,
252,Reynolds-Swanson Store,"276 Morgan Port, New Ericberg, AK 95123",,38903.00,Central,
253,Smith-Morris Store,"01175 Pugh Camp, Foleybury, NC 80943",,75293.00,East,
257,Hess LLC Store,"193 Diane Pike, Smithmouth, IN 13289",,65845.00,North,
